model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30-FT-E-M,3,False,6.0,0.4,0.2240000069141388,22.64957264957265,0.0
B30-FT-E-M,3,False,6.0,0.45,0.0560000017285347,4.819277108433735,0.0
B30-FT-E-M,3,False,7.0,0.0,0.9800000190734863,0.0,0.8
B30-FT-E-M,3,False,7.0,0.1,0.9800000190734863,33.33333333333333,0.8
B30-FT-E-M,3,False,7.0,0.2,0.9760000705718994,44.44444444444444,0.8
B30-FT-E-M,3,False,7.0,0.3,0.9480000734329224,66.66666666666666,2.0
B30-FT-E-M,3,False,7.0,0.325,0.8920000195503235,43.24324324324324,2.8000000000000003
B30-FT-E-M,3,False,7.0,0.35,0.7600000500679016,43.29896907216495,2.4
B30-FT-E-M,3,False,7.0,0.375,0.5600000023841858,41.208791208791204,0.4
B30-FT-E-M,3,False,7.0,0.4,0.36400002241134644,31.896551724137932,0.0
B30-FT-E-M,3,False,7.0,0.45,0.06400000303983688,8.799999999999999,0.0
B30-FT-E-M,3,False,8.0,0.0,0.9800000190734863,0.0,0.8
B30-FT-E-M,3,False,8.0,0.1,0.9800000190734863,33.33333333333333,1.6
B30-FT-E-M,3,False,8.0,0.2,0.9600000381469727,40.0,2.4
B30-FT-E-M,3,False,8.0,0.3,0.9480000734329224,57.14285714285714,2.8000000000000003
B30-FT-E-M,3,False,8.0,0.325,0.9080000519752502,51.42857142857142,3.5999999999999996
B30-FT-E-M,3,False,8.0,0.35,0.7400000095367432,44.44444444444444,2.0
B30-FT-E-M,3,False,8.0,0.375,0.6000000238418579,48.167539267015705,0.0
B30-FT-E-M,3,False,8.0,0.4,0.3400000035762787,33.33333333333333,0.0
B30-FT-E-M,3,False,8.0,0.45,0.06800000369548798,10.4,0.0
B30-FT-E-M,3,False,9.0,0.0,0.9760000705718994,0.0,2.0
B30-FT-E-M,3,False,9.0,0.1,0.9800000190734863,0.0,1.2
B30-FT-E-M,3,False,9.0,0.2,0.9600000381469727,44.44444444444444,2.4
B30-FT-E-M,3,False,9.0,0.3,0.9480000734329224,52.63157894736842,4.0
B30-FT-E-M,3,False,9.0,0.325,0.9240000247955322,46.875,4.0
B30-FT-E-M,3,False,9.0,0.35,0.7520000338554382,38.46153846153847,3.2
B30-FT-E-M,3,False,9.0,0.375,0.5520000457763672,48.5,0.0
B30-FT-E-M,3,False,9.0,0.4,0.3320000171661377,34.8936170212766,0.0
B30-FT-E-M,3,False,9.0,0.45,0.10000000149011612,11.600000000000001,0.0
B30-FT-E-M,3,False,10.0,0.0,0.9760000705718994,0.0,2.0
B30-FT-E-M,3,False,10.0,0.1,0.9760000705718994,0.0,2.4
B30-FT-E-M,3,False,10.0,0.2,0.9640000462532043,50.0,2.4
B30-FT-E-M,3,False,10.0,0.3,0.9440000653266907,60.86956521739131,4.0
B30-FT-E-M,3,False,10.0,0.325,0.9080000519752502,55.26315789473685,4.0
B30-FT-E-M,3,False,10.0,0.35,0.7680000066757202,48.484848484848484,1.2
B30-FT-E-M,3,False,10.0,0.375,0.6000000238418579,51.53061224489795,0.4
B30-FT-E-M,3,False,10.0,0.4,0.3840000033378601,37.99126637554585,0.0
B30-FT-E-M,3,False,10.0,0.45,0.14000000059604645,17.2,0.0
B30-FT-E-M,3,False,11.0,0.0,0.9720000624656677,0.0,2.4
B30-FT-E-M,3,False,11.0,0.1,0.9760000705718994,0.0,2.0
B30-FT-E-M,3,False,11.0,0.2,0.9600000381469727,54.54545454545454,2.8000000000000003
B30-FT-E-M,3,False,11.0,0.3,0.940000057220459,62.5,5.2
B30-FT-E-M,3,False,11.0,0.325,0.8920000195503235,47.5,4.8
B30-FT-E-M,3,False,11.0,0.35,0.7640000581741333,49.48453608247423,2.8000000000000003
B30-FT-E-M,3,False,11.0,0.375,0.612000048160553,49.19786096256685,0.4
B30-FT-E-M,3,False,11.0,0.4,0.4520000219345093,44.06779661016949,0.0
B30-FT-E-M,3,False,11.0,0.45,0.14000000059604645,19.27710843373494,0.0
B30-FT-E-M,3,False,12.0,0.0,0.9720000624656677,0.0,2.8000000000000003
B30-FT-E-M,3,False,12.0,0.1,0.9800000190734863,0.0,2.8000000000000003
B30-FT-E-M,3,False,12.0,0.2,0.9600000381469727,40.0,3.2
B30-FT-E-M,3,False,12.0,0.3,0.9360000491142273,63.1578947368421,4.8
B30-FT-E-M,3,False,12.0,0.325,0.9160000681877136,52.77777777777778,3.2
B30-FT-E-M,3,False,12.0,0.35,0.7720000147819519,48.54368932038835,2.4
B30-FT-E-M,3,False,12.0,0.375,0.6240000128746033,53.645833333333336,0.4
B30-FT-E-M,3,False,12.0,0.4,0.46800002455711365,43.64406779661017,0.0
B30-FT-E-M,3,False,12.0,0.45,0.20400001108646393,24.0,0.0
B30-FT-E-M,3,False,13.0,0.0,0.968000054359436,0.0,2.8000000000000003
B30-FT-E-M,3,False,13.0,0.1,0.9800000190734863,33.33333333333333,2.8000000000000003
B30-FT-E-M,3,False,13.0,0.2,0.9640000462532043,60.0,2.8000000000000003
B30-FT-E-M,3,False,13.0,0.3,0.9200000166893005,63.63636363636363,4.0
B30-FT-E-M,3,False,13.0,0.325,0.9000000357627869,56.41025641025641,5.2
B30-FT-E-M,3,False,13.0,0.35,0.796000063419342,51.578947368421055,2.4
B30-FT-E-M,3,False,13.0,0.375,0.628000020980835,55.55555555555556,0.0
B30-FT-E-M,3,False,13.0,0.4,0.46000000834465027,49.57627118644068,0.0
B30-FT-E-M,3,False,13.0,0.45,0.18400001525878906,23.694779116465863,0.0
