model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches
B30,3,True,20.0,0.125,0.004000000189989805,0.40650406504065045
B30,3,True,25.0,0.0,0.9720000624656677,0.0
B30,3,True,25.0,0.025,0.5800000429153442,26.666666666666668
B30,3,True,25.0,0.05,0.18800000846385956,10.795454545454545
B30,3,True,25.0,0.075,0.052000001072883606,6.167400881057269
B30,3,True,25.0,0.1,0.020000001415610313,1.25
B30,3,True,25.0,0.125,0.0,0.0
B30,3,True,30.0,0.0,0.9520000219345093,0.0
B30,3,True,30.0,0.025,0.5520000457763672,34.84848484848485
B30,3,True,30.0,0.05,0.1720000058412552,10.365853658536585
B30,3,True,30.0,0.075,0.052000001072883606,4.932735426008969
B30,3,True,30.0,0.1,0.01600000075995922,1.2552301255230125
B30,3,True,30.0,0.125,0.012000000104308128,0.8064516129032258
B30,3,True,40.0,0.0,0.940000057220459,0.0
B30,3,True,40.0,0.025,0.527999997138977,32.25806451612903
B30,3,True,40.0,0.05,0.18000000715255737,15.18987341772152
B30,3,True,40.0,0.075,0.0560000017285347,5.687203791469194
B30,3,True,40.0,0.1,0.02800000086426735,3.8135593220338984
B30,3,True,40.0,0.125,0.012000000104308128,1.214574898785425
B30,3,True,50.0,0.0,0.9200000166893005,0.0
B30,3,True,50.0,0.025,0.47200003266334534,27.77777777777778
B30,3,True,50.0,0.05,0.18400001525878906,16.083916083916083
B30,3,True,50.0,0.075,0.052000001072883606,8.653846153846153
B30,3,True,50.0,0.1,0.03200000151991844,3.765690376569038
B30,3,True,50.0,0.125,0.01600000075995922,1.646090534979424
